,No,Name,Team,G,PA_x,AB_x,R_x,H_x,1B_x,2B_x,3B_x,HR_x,RBI_x,HBP_x,BB_x,SO_x,SacB,SacF,SB_x,CS_x,AVG_x,OBP_x,SLG_x,OPS_x,Number,GP,K-L,SAC,SF,ROE,FC,SB%,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI
15,10,Austin Almany,Bombers,14,31,27,6,6,5,1,0,0,4,1,3,10,0,0,4,0,0.222,0.323,0.259,0.582,10,11,3,0,0,0,0,100.0,0,9,33.33,9.0,0.3,56.52,3,15.38,38.46,46.15,0.308,0.1,11,0,1,5,114,4.222,4,14.81,4,14.81,0.0,0,0,0
16,8,Austin Lombardo,Chill,16,41,35,4,5,3,1,1,0,6,0,6,9,0,0,3,0,0.143,0.268,0.229,0.497,8,12,3,0,0,3,1,100.0,0,13,43.33,10.0,0.429,74.07,6,5.0,40.0,55.0,0.25,0.2,18,0,2,8,105,3.5,2,6.67,3,10.0,0.0,2,0,0
17,9,Austyn Andrachick,Rush,12,36,29,4,9,6,0,2,1,8,2,5,4,0,0,1,0,0.31,0.444,0.552,0.996,9,7,1,0,0,0,1,100.0,0,11,52.38,7.0,1.5,88.24,8,26.67,26.67,46.67,0.357,0.25,11,0,2,11,70,3.333,4,19.05,3,14.29,17.0,0,0,0
18,1,Binyam Gebhardt,LumberJacks,16,47,38,15,13,12,1,0,0,7,3,6,7,0,0,6,0,0.342,0.468,0.368,0.837,1,13,1,0,0,1,2,100.0,0,16,41.03,6.5,1.0,80.0,7,12.0,36.0,48.0,0.333,0.3,17,2,1,9,150,3.846,5,12.82,7,17.95,0.0,0,0,0
19,8,Blake Nelson,Rush,15,45,35,10,14,13,0,1,0,8,5,4,4,0,1,3,1,0.4,0.511,0.457,0.968,8,11,2,0,1,0,0,50.0,0,14,40.0,11.7,0.75,84.62,7,26.09,39.13,34.78,0.391,0.833,7,2,1,11,110,3.143,1,2.86,3,8.57,0.0,0,0,0
20,9,Bobby Cobine,Bootleggers,9,24,18,3,3,3,0,0,0,1,1,5,4,0,0,3,0,0.167,0.375,0.167,0.542,9,6,1,0,0,0,0,100.0,0,6,46.15,0.0,0.0,76.92,3,20.0,40.0,30.0,0.3,0.2,14,0,0,3,48,3.692,1,7.69,4,30.77,0.0,0,0,0
21,17,Bowen Sanford,Green Dragons,19,38,25,11,6,6,0,0,0,3,7,5,7,1,0,11,3,0.24,0.486,0.24,0.726,17,14,1,1,0,4,0,78.57,1,9,32.14,9.3,0.6,72.22,2,7.14,0.0,78.57,0.308,0.111,9,0,0,4,92,3.286,3,10.71,2,7.14,0.0,0,0,0
22,9,Brad Fallentine,Coyotes,15,42,35,4,10,6,4,0,0,8,1,6,5,0,0,3,0,0.286,0.405,0.4,0.805,9,11,0,0,0,0,3,100.0,0,17,54.84,5.2,2.0,87.5,7,19.05,33.33,47.62,0.333,0.25,16,0,2,9,109,3.516,4,12.9,5,16.13,0.0,0,0,0
23,24,Braden Turner,LumberJacks,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,24,1,0,0,0,0,0,0.0,0,2,66.67,0.0,0.0,100.0,2,66.67,0.0,33.33,0.667,0.0,2,0,1,3,3,1.0,0,0.0,0,0.0,0.0,1,0,0
24,9,Braden Winget,A's,18,51,43,11,21,15,5,0,1,17,1,4,6,0,3,3,0,0.488,0.51,0.674,1.184,9,12,1,0,3,0,0,100.0,0,17,51.52,16.5,0.4,81.48,8,24.0,60.0,16.0,0.36,0.364,14,0,2,11,112,3.394,2,6.06,4,12.12,0.0,1,0,0
25,14,Bradley Morris,Green Dragons,18,39,37,5,15,10,2,2,1,7,1,1,4,0,0,2,0,0.405,0.436,0.649,1.085,14,13,0,0,0,0,0,100.0,0,16,59.26,27.0,0.333,88.0,10,22.73,40.91,36.36,0.524,0.364,10,2,4,19,95,3.519,3,11.11,5,18.52,25.0,0,0,0
26,12,Brayden Ferguson,Bombers,13,28,25,3,4,3,1,0,0,2,0,3,6,0,0,2,1,0.16,0.25,0.2,0.45,12,10,4,0,0,2,0,66.67,0,7,31.82,11.0,0.4,75.0,2,6.67,80.0,13.33,0.2,0.111,19,0,0,3,85,3.864,5,22.73,5,22.73,0.0,0,0,0
27,7,Breckin Hadley,LumberJacks,17,39,30,5,9,7,2,0,0,9,3,6,9,0,0,1,0,0.3,0.462,0.367,0.828,7,14,3,0,0,0,2,0.0,0,11,36.67,7.5,0.444,60.87,3,7.14,42.86,50.0,0.357,0.417,14,0,2,7,107,3.567,4,13.33,4,13.33,0.0,0,0,0
28,25,Brian O'Connell III,Green Dragons,15,30,25,3,5,4,1,0,0,0,0,5,8,0,0,0,0,0.2,0.333,0.24,0.573,25,11,1,0,0,0,1,0.0,0,12,50.0,4.8,0.833,68.42,2,7.69,38.46,53.85,0.308,0.0,14,0,1,5,100,4.167,3,12.5,5,20.83,0.0,0,0,0
29,17,Cade Amine,Rush,15,37,28,5,11,11,0,0,0,2,1,8,4,0,0,2,0,0.393,0.541,0.393,0.933,17,10,0,0,0,2,0,100.0,0,16,66.67,4.0,6.0,94.12,7,25.0,18.75,56.25,0.438,0.429,6,0,0,7,98,4.083,4,16.67,8,33.33,0.0,1,0,0
30,9,Caden Stillwell,LumberJacks,14,43,35,12,14,12,2,0,0,7,1,7,4,0,0,6,2,0.4,0.512,0.457,0.969,9,10,1,0,0,3,1,66.67,0,12,37.5,6.4,1.667,88.46,3,8.7,34.78,56.52,0.391,0.125,18,3,2,11,114,3.563,3,9.38,6,18.75,0.0,0,0,0
31,3,Caleb Harmond,LumberJacks,16,51,40,11,16,14,2,0,0,10,0,11,4,0,0,5,1,0.4,0.529,0.45,0.979,3,13,2,0,0,2,1,83.33,2,27,64.29,4.2,5.0,93.75,8,10.34,27.59,62.07,0.4,0.417,14,2,1,13,168,4.0,12,28.57,13,30.95,0.0,2,0,0
32,2,Caleb Salgado,Rush,13,32,29,6,12,12,0,0,0,7,0,3,3,0,0,1,0,0.414,0.469,0.414,0.883,2,8,2,0,0,1,0,0.0,0,12,57.14,0.0,0.0,90.48,7,15.79,21.05,63.16,0.474,0.4,7,1,0,9,85,4.048,2,9.52,5,23.81,0.0,1,0,0
33,8,Calvin Carroll,Coyotes,15,43,33,7,9,6,3,0,0,6,4,6,12,0,0,1,0,0.273,0.442,0.364,0.805,8,11,5,0,0,2,0,100.0,0,21,58.33,6.0,0.6,61.54,6,6.25,12.5,81.25,0.438,0.3,17,4,1,8,154,4.278,7,19.44,13,36.11,0.0,2,0,0
34,20,Cameron Tarling,LumberJacks,15,36,30,10,14,13,1,0,0,9,1,4,4,0,1,8,1,0.467,0.528,0.5,1.028,20,12,1,0,0,2,3,80.0,0,15,46.88,8.0,1.333,88.89,9,20.83,12.5,62.5,0.458,0.286,23,4,0,11,120,3.75,2,6.25,7,21.88,0.0,1,0,0
35,34,Carson Windeshausen,Blue Sox,15,38,30,6,7,5,2,0,0,8,0,7,9,0,1,6,0,0.233,0.368,0.3,0.668,34,10,2,0,0,1,2,100.0,0,15,55.56,3.9,1.167,70.0,4,21.43,28.57,50.0,0.357,0.222,13,1,0,5,119,4.407,4,14.81,7,25.93,0.0,0,0,0
36,9,Catch Brown,Green Dragons,11,22,15,4,1,1,0,0,0,2,2,5,8,0,0,0,0,0.067,0.364,0.067,0.43,9,7,3,0,0,0,0,0.0,1,7,50.0,2.8,1.0,37.5,1,0.0,33.33,66.67,0.0,0.0,3,0,0,0,59,4.214,1,7.14,3,21.43,0.0,0,0,0
37,9,Cesar Ortega,Blue Sox,17,34,21,6,5,3,1,0,1,5,2,11,5,0,0,3,0,0.238,0.529,0.429,0.958,9,12,3,0,0,0,1,100.0,0,14,58.33,3.0,1.6,64.29,1,0.0,66.67,33.33,0.125,0.25,9,0,2,6,112,4.667,1,4.17,9,37.5,14.0,0,0,0
38,21,Chance Clayman,Chill,18,34,30,3,8,7,1,0,0,5,1,3,11,0,0,4,1,0.267,0.353,0.3,0.653,21,12,3,0,0,0,0,66.67,1,9,40.91,22.0,0.111,57.14,5,41.67,0.0,58.33,0.5,0.25,12,2,1,7,83,3.773,2,9.09,4,18.18,0.0,0,0,0
39,9,Chase Highberger,Bombers,16,37,26,6,3,3,0,0,0,1,4,7,6,0,0,3,1,0.115,0.378,0.115,0.494,9,12,2,0,0,2,1,100.0,0,9,33.33,6.8,0.8,75.0,3,20.0,40.0,40.0,0.133,0.0,16,0,0,2,94,3.481,3,11.11,3,11.11,0.0,0,0,0
40,15,Chase Robertson,LumberJacks,21,46,34,14,11,8,2,1,0,5,3,9,8,0,0,9,1,0.324,0.5,0.441,0.941,15,17,5,0,0,1,0,87.5,0,17,44.74,4.8,1.0,70.37,2,5.26,36.84,57.89,0.526,0.4,10,2,3,14,151,3.974,8,21.05,11,28.95,0.0,1,0,0
41,15,Chris Aguilar,Chill,12,23,22,0,4,3,1,0,0,1,0,1,5,0,0,1,0,0.182,0.217,0.227,0.445,15,7,0,0,0,1,0,100.0,0,3,23.08,13.0,0.5,83.33,1,10.0,30.0,50.0,0.3,0.0,5,0,1,4,46,3.538,1,7.69,1,7.69,0.0,1,0,0
42,13,Christopher Lopez,Green Dragons,19,43,33,7,10,8,2,0,0,3,0,10,10,0,0,6,3,0.303,0.465,0.364,0.829,13,14,2,0,0,0,0,57.14,0,17,58.62,4.1,0.875,63.64,4,14.29,57.14,28.57,0.429,0.333,6,1,2,8,118,4.069,3,10.34,5,17.24,0.0,0,0,0
43,11,Cody Baylor,Bootleggers,12,32,25,2,1,1,0,0,0,1,2,4,13,0,1,2,0,0.04,0.219,0.04,0.259,11,9,5,0,1,0,0,0.0,0,11,47.83,7.7,0.273,35.29,2,14.29,57.14,28.57,0.143,0.0,9,0,0,1,104,4.522,4,17.39,7,30.43,0.0,0,0,0
44,25,Cody Benner,LumberJacks,14,28,22,1,2,2,0,0,0,3,2,4,6,0,0,0,0,0.091,0.286,0.091,0.377,25,11,0,0,0,1,1,0.0,0,10,43.48,7.7,1.0,84.21,3,12.5,37.5,50.0,0.125,0.1,21,0,0,2,80,3.478,4,17.39,5,21.74,0.0,1,0,0
45,19,Cole Fowler,Bombers,13,28,21,5,5,2,2,1,0,6,3,4,8,0,0,3,0,0.238,0.429,0.429,0.857,19,11,4,0,0,0,2,100.0,0,13,54.17,6.0,0.8,70.59,4,33.33,33.33,33.33,0.5,0.25,12,1,3,10,79,3.292,2,8.33,5,20.83,0.0,0,0,0
46,9,Cole Savage,NorthStars,18,53,42,10,14,11,2,1,0,5,0,11,3,0,0,1,0,0.333,0.472,0.429,0.9,9,9,0,0,0,0,0,0.0,0,16,59.26,6.8,4.0,95.65,11,36.36,40.91,22.73,0.409,0.375,11,3,2,12,92,3.407,2,7.41,3,11.11,0.0,0,0,0
47,25,Colten Reese,Rush,8,17,14,2,3,3,0,0,0,3,1,2,10,0,0,1,1,0.214,0.353,0.214,0.567,25,5,1,0,0,0,0,0.0,0,4,40.0,5.0,0.333,14.29,0,0.0,100.0,0.0,0.0,0.0,6,0,0,0,50,5.0,3,30.0,4,40.0,0.0,0,0,0
48,3,Connor Frye,Blue Sox,18,42,35,10,7,6,1,0,0,2,3,4,8,0,0,1,0,0.2,0.333,0.229,0.562,3,13,2,0,0,3,2,100.0,1,10,33.33,7.5,0.571,70.83,2,5.88,29.41,64.71,0.176,0.0,21,0,1,4,106,3.533,2,6.67,6,20.0,0.0,0,0,0
49,27,Connor Spindler,Bootleggers,13,36,29,2,7,6,1,0,0,6,2,3,11,0,2,1,0,0.241,0.333,0.276,0.609,27,9,2,0,2,2,1,0.0,0,13,50.0,13.0,0.333,71.43,4,17.65,35.29,47.06,0.412,0.286,9,2,1,8,98,3.769,2,7.69,6,23.08,0.0,0,0,0
50,17,Cristian Angulo,NorthStars,7,21,18,4,4,2,0,2,0,5,0,1,3,0,2,0,0,0.222,0.238,0.444,0.683,17,5,0,0,1,0,0,0.0,0,7,41.18,17.0,0.5,86.67,2,7.14,57.14,35.71,0.214,0.5,4,2,1,5,63,3.706,3,17.65,2,11.76,0.0,0,0,0
51,5,Dalton Irwin,Bombers,14,36,32,3,3,3,0,0,0,0,2,2,7,0,0,0,1,0.094,0.194,0.094,0.288,5,11,3,0,0,5,0,0.0,1,6,23.08,26.0,0.2,79.17,1,5.26,47.37,42.11,0.053,0.0,14,0,0,1,79,3.038,4,15.38,4,15.38,0.0,0,0,0
52,18,Daniel Vendyl,Bombers,11,30,25,2,7,3,4,0,0,3,0,5,7,0,0,0,0,0.28,0.4,0.44,0.84,18,10,1,0,0,2,1,0.0,0,12,44.44,6.8,0.667,73.91,4,23.53,29.41,47.06,0.412,0.222,15,1,4,11,91,3.37,0,0.0,2,7.41,0.0,1,0,0
53,5,Danny Martinez,NorthStars,19,58,47,13,14,13,1,0,0,8,6,5,5,0,0,3,1,0.298,0.431,0.319,0.75,5,10,0,0,0,1,2,66.67,0,12,37.5,10.7,3.0,96.15,5,12.0,24.0,64.0,0.32,0.4,11,4,1,9,108,3.375,1,3.13,3,9.38,0.0,1,0,0
54,12,David Orozco,Rush,13,29,24,5,5,5,0,0,0,3,0,5,6,0,0,0,0,0.208,0.345,0.208,0.553,12,8,2,0,0,1,0,0.0,0,13,61.9,7.0,0.75,77.78,3,14.29,21.43,64.29,0.357,0.3,14,0,0,5,103,4.905,5,23.81,7,33.33,0.0,0,0,0
55,20,Dayton Anderson,Bombers,14,37,32,6,10,7,2,0,1,9,1,4,9,0,0,1,1,0.312,0.405,0.469,0.874,20,13,2,0,0,0,1,50.0,0,15,48.39,7.8,0.571,73.08,5,21.05,26.32,52.63,0.421,0.357,15,5,2,11,137,4.419,5,16.13,9,29.03,0.0,0,0,0
56,25,Dean Samuel,NorthStars,19,48,41,4,8,7,1,0,0,4,1,4,4,0,2,0,0,0.195,0.271,0.22,0.49,25,9,1,0,1,3,2,0.0,0,11,45.83,24.0,0.5,90.91,7,14.29,42.86,42.86,0.238,0.154,20,0,0,5,82,3.417,1,4.17,4,16.67,0.0,0,0,0
57,13,Diego Ruiz,Chill,17,43,32,5,5,3,2,0,0,1,3,8,13,0,0,2,1,0.156,0.372,0.219,0.591,13,11,0,0,0,0,1,66.67,0,11,36.67,6.0,0.556,60.87,2,14.29,42.86,42.86,0.286,0.0,15,0,1,5,115,3.833,2,6.67,3,10.0,0.0,0,0,0
58,1,Dillon Damico,Bootleggers,9,18,16,2,1,1,0,0,0,0,0,2,9,0,0,0,0,0.062,0.167,0.062,0.229,1,7,2,0,0,0,0,0.0,0,5,35.71,7.0,0.333,50.0,1,0.0,50.0,50.0,0.0,0.0,9,0,0,0,60,4.286,4,28.57,3,21.43,0.0,0,0,0
59,18,Drew Griffin,LumberJacks,17,37,32,8,9,6,2,1,0,4,1,4,6,0,0,0,0,0.281,0.378,0.406,0.785,18,14,1,0,0,3,1,0.0,0,15,55.56,9.0,1.0,86.96,3,5.0,45.0,50.0,0.4,0.286,12,1,3,12,105,3.889,8,29.63,7,25.93,0.0,0,0,0
60,13,Dylan Garcia,Bombers,12,26,17,3,2,2,0,0,0,0,3,6,6,0,0,2,1,0.118,0.423,0.118,0.541,13,9,1,0,0,2,0,66.67,0,10,50.0,3.3,2.0,72.73,1,12.5,37.5,50.0,0.25,0.0,6,0,0,2,84,4.2,3,15.0,7,35.0,0.0,0,0,0
61,18,Dylan O'Hair,Green Dragons,18,32,21,7,2,0,2,0,0,2,4,7,10,0,0,0,0,0.095,0.406,0.19,0.597,18,12,4,0,0,1,0,0.0,0,11,47.83,7.7,0.273,31.25,2,40.0,20.0,40.0,0.4,0.25,9,2,2,4,97,4.217,4,17.39,5,21.74,0.0,0,0,0
62,6,Elijah Real,Rush,13,30,25,2,6,4,1,1,0,0,1,4,12,0,0,1,0,0.24,0.367,0.36,0.727,6,9,1,0,0,0,0,100.0,0,8,40.0,6.7,0.333,43.75,3,28.57,42.86,14.29,0.286,0.167,8,0,0,2,87,4.35,2,10.0,4,20.0,0.0,0,0,0
63,44,Enrique Saucedo,NorthStars,14,39,32,5,4,4,0,0,0,6,0,7,16,0,0,0,0,0.125,0.282,0.125,0.407,44,7,3,0,0,0,2,0.0,0,10,52.63,4.8,0.571,53.33,1,12.5,25.0,62.5,0.125,0.143,15,0,0,1,89,4.684,4,21.05,6,31.58,0.0,0,0,0
64,2,Eric Logsdon,Chill,17,45,38,4,15,13,1,1,0,7,0,6,7,0,1,5,3,0.395,0.467,0.474,0.94,2,12,1,0,1,0,0,33.33,1,13,46.43,9.3,0.6,79.17,7,20.0,25.0,55.0,0.45,0.364,14,1,0,9,95,3.393,4,14.29,3,10.71,0.0,1,0,0
65,8,Erik Polanco,LumberJacks,18,38,30,11,11,7,4,0,0,7,4,4,12,0,0,3,1,0.367,0.5,0.5,1.0,8,16,5,0,0,2,0,100.0,0,18,51.43,8.8,0.333,55.56,6,33.33,53.33,13.33,0.533,0.286,18,5,3,11,158,4.514,6,17.14,9,25.71,0.0,0,0,0
66,19,Ethan Hopkins,NorthStars,10,28,25,4,6,5,1,0,0,2,1,2,9,0,0,1,0,0.24,0.321,0.28,0.601,19,4,2,0,0,0,0,100.0,0,4,36.36,11.0,0.333,70.0,1,14.29,57.14,28.57,0.286,0.25,6,1,0,2,47,4.273,2,18.18,2,18.18,0.0,0,0,0
67,24,Ethan Jackson,Chill,10,25,22,1,3,1,1,1,0,2,1,2,9,0,0,0,0,0.136,0.24,0.273,0.513,24,6,0,0,0,0,0,0.0,0,5,31.25,0.0,0.0,66.67,4,20.0,20.0,60.0,0.2,0.111,14,2,1,4,62,3.875,1,6.25,2,12.5,0.0,2,0,0
68,7,Everett Cord,Green Dragons,18,43,39,6,8,7,1,0,0,3,2,2,9,0,0,6,0,0.205,0.279,0.231,0.51,7,13,3,0,0,1,0,100.0,0,11,35.48,31.0,0.143,75.86,7,18.18,31.82,50.0,0.182,0.154,21,1,0,4,116,3.742,4,12.9,5,16.13,0.0,0,0,0
69,3,Frank Kula,A's,19,49,44,10,18,13,5,0,0,5,0,5,13,0,0,3,2,0.409,0.469,0.523,0.992,3,13,4,0,0,2,2,66.67,1,15,45.45,8.3,0.571,75.86,8,36.36,22.73,40.91,0.545,0.3,19,0,2,14,114,3.455,1,3.03,3,9.09,0.0,0,0,0
70,22,Garren Gledhill,Bootleggers,13,36,29,4,10,8,1,1,0,7,1,6,9,0,0,0,0,0.345,0.472,0.448,0.92,22,10,2,0,0,1,1,0.0,0,13,48.15,6.8,0.5,63.64,5,28.57,28.57,42.86,0.5,0.625,9,1,2,10,111,4.111,4,14.81,6,22.22,0.0,0,0,0
71,23,Gavin Partch,Blue Sox,14,27,19,2,5,3,1,1,0,5,1,6,6,0,1,0,1,0.263,0.444,0.421,0.865,23,9,1,0,1,0,1,0.0,0,8,44.44,3.6,1.25,66.67,0,0.0,55.56,44.44,0.333,0.333,6,0,1,4,69,3.833,2,11.11,2,11.11,0.0,1,0,0
72,1,Gino Hutchinson,Coyotes,18,50,44,13,16,9,6,1,0,7,2,4,5,0,0,14,3,0.364,0.44,0.545,0.985,1,13,0,0,0,3,0,75.0,0,23,57.5,10.0,1.0,88.57,9,19.35,41.94,38.71,0.419,0.333,21,2,7,21,161,4.025,8,20.0,8,20.0,0.0,0,0,0
73,2,Hayata Lee,Green Dragons,14,23,19,3,4,4,0,0,0,1,1,3,5,0,0,2,0,0.211,0.348,0.211,0.558,2,9,0,0,0,2,0,100.0,0,7,43.75,8.0,0.667,76.92,3,20.0,20.0,60.0,0.3,0.25,10,1,0,3,55,3.438,3,18.75,3,18.75,0.0,0,0,0
74,17,Ian McCracken,A's,18,43,33,7,6,4,2,0,0,6,2,6,8,0,2,1,1,0.182,0.326,0.242,0.568,17,12,4,0,2,0,0,100.0,0,14,45.16,10.3,0.6,80.0,3,4.55,54.55,40.91,0.273,0.308,19,2,1,7,120,3.871,4,12.9,7,22.58,0.0,1,0,0
75,14,Isaac Vargas,Rush,12,28,23,1,1,1,0,0,0,1,1,4,20,0,0,0,0,0.043,0.214,0.043,0.258,14,7,6,0,0,1,0,0.0,0,5,27.78,6.0,0.25,20.0,0,0.0,33.33,66.67,0.333,0.1,16,0,0,1,75,4.167,1,5.56,3,16.67,0.0,0,0,0
76,14,Isaiah Nunez,Coyotes,13,36,30,3,6,6,0,0,0,1,1,5,8,0,0,0,1,0.2,0.333,0.2,0.533,14,8,2,0,0,1,1,0.0,0,13,56.52,5.8,1.0,78.95,6,26.67,26.67,46.67,0.333,0.25,14,0,0,5,81,3.522,3,13.04,6,26.09,0.0,0,0,0
77,18,Issac Rodas,Bootleggers,12,29,25,0,1,1,0,0,0,1,0,3,14,0,1,0,0,0.04,0.138,0.04,0.178,18,9,3,0,1,0,0,0.0,0,9,39.13,11.5,0.182,45.0,2,0.0,50.0,50.0,0.1,0.0,14,0,0,1,106,4.609,3,13.04,4,17.39,0.0,1,0,0
78,21,Issac Ypina,Green Dragons,17,31,27,3,5,5,0,0,0,1,0,4,8,0,0,0,0,0.185,0.29,0.185,0.476,21,11,3,0,0,1,0,0.0,0,11,52.38,7.0,0.5,66.67,5,16.67,33.33,50.0,0.333,0.167,10,1,0,4,90,4.286,4,19.05,4,19.05,0.0,0,0,0
79,17,Jace Dominic,Bootleggers,8,23,21,3,8,4,4,0,0,3,1,1,4,0,0,0,1,0.381,0.435,0.571,1.006,17,6,0,0,0,0,1,0.0,0,9,64.29,14.0,0.5,84.62,5,36.36,36.36,27.27,0.545,0.667,4,1,4,10,49,3.5,0,0.0,3,21.43,0.0,0,0,0
80,22,Jack Rose,Blue Sox,15,32,26,2,4,3,0,1,0,3,2,4,9,0,0,0,0,0.154,0.312,0.231,0.543,22,10,0,0,0,3,0,0.0,0,8,36.36,11.0,0.333,68.42,3,7.69,30.77,61.54,0.231,0.3,14,2,1,5,80,3.636,1,4.55,3,13.64,0.0,0,0,0
