,No,Name,Team,G,GS_x,CG,SHO,W_x,L_x,SV_x,SVO_x,INN,BF_x,H_x,R_x,ER_x,HR_x,HBP_x,BB_x,IBB,SO_x,SacF,BK_x,PC,WHIP_x,WP_x,OBA,ERA_x,Number,IP,GP,#P,BS,SV%,K-L,LOB,PIK,CS,SB,SB%,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,LD%,FB%,GB%,BABIP,BA/RISP
54,16,James Catherine,Bombers,9,6,0,0,3,2,0,0,31.1,96,21,18,14,0,9,26,0,41,0,1,385,1.51,2.0,0.344,4.05,16,25.2,6,494,0,0,5,24,1,4,14,77.78,0.23,19.2,4.186,29.66,14,7,4,4,3.574,56.28,51.69,60.66,9.84,18.03,0.818,10,5,9,3,14.17,0.263,1.476,67.24,32.76,0.762,22.41,32.76,43.86,0.345,0.206
55,4,James Nelson,Coyotes,3,0,0,0,0,0,0,0,1.1,9,0,0,0,0,2,0,0,1,0,0,36,0.0,0.0,0.0,0.0,4,2.1,3,36,0,0,0,4,0,0,2,100.0,0.0,15.4,4.0,22.22,1,0,0,0,4.55,63.89,88.89,75.0,0.0,0.0,0.0,1,0,0,0,2.78,0.111,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
56,5,James Taylor III,Green Dragons,1,0,0,0,0,0,0,0,0.1,6,1,3,3,0,0,4,0,0,0,0,31,15.0,0.0,0.5,81.0,5,0.1,1,31,0,0,0,0,0,0,0,0.0,0.5,93.0,5.167,16.67,0,0,0,0,34.28,35.48,16.67,0.0,100.0,0.0,12.0,0,2,1,1,9.68,0.0,0.0,50.0,50.0,0.0,50.0,50.0,0.0,0.5,1.0
57,34,James Williams,Chill,6,6,0,0,0,5,0,0,29.0,125,32,20,16,0,4,18,0,27,0,0,503,1.72,8.0,0.311,4.97,34,25.0,5,446,0,0,4,30,0,2,6,75.0,0.308,17.8,3.568,46.4,13,8,3,8,3.323,62.11,64.0,66.25,2.5,30.0,0.64,14,3,4,2,13.0,0.192,1.5,66.67,33.33,1.222,19.75,24.69,55.0,0.395,0.289
58,5,Jarret Batanian,LumberJacks,2,0,0,0,0,0,0,0,2.1,9,1,0,0,0,0,1,0,5,0,0,46,0.95,0.0,0.125,0.0,5,2.1,2,46,0,0,0,2,0,0,0,0.0,0.125,19.7,5.111,22.22,1,1,0,0,-0.04,58.7,22.22,50.0,0.0,50.0,0.429,2,0,0,0,26.09,0.556,5.0,66.67,33.33,0.0,33.33,66.67,0.0,0.333,0.0
59,18,Jason Silva,Chill,7,3,0,0,0,2,0,0,12.0,34,7,9,6,0,10,10,0,24,0,0,152,1.42,6.0,0.5,4.5,18,5.0,4,109,0,0,5,6,0,0,0,0.0,0.063,21.8,4.36,24.0,2,2,2,1,3.396,51.38,44.0,81.82,9.09,0.0,0.6,2,1,1,0,14.68,0.44,3.667,80.0,20.0,1.0,20.0,40.0,40.0,0.2,0.111
60,8,Jaxon Diamond,NorthStars,3,0,0,0,0,0,0,0,3.1,14,4,3,1,0,1,2,0,3,0,0,51,1.75,2.0,0.364,2.62,8,2.2,2,51,0,0,1,2,0,0,0,0.0,0.364,19.1,3.643,28.57,1,1,1,1,3.83,56.86,64.29,66.67,0.0,33.33,0.75,1,1,0,0,7.84,0.214,1.5,50.0,50.0,2.0,37.5,12.5,50.0,0.5,0.5
61,21,Jeremy Brown,Rush,4,2,0,0,1,0,0,0,10.2,41,11,6,5,0,0,4,0,8,0,0,161,1.41,0.0,0.297,4.22,21,7.0,2,124,0,0,1,5,0,0,6,100.0,0.222,17.7,4.133,36.67,4,3,2,4,2.57,60.48,50.0,80.0,6.67,13.33,0.429,4,1,1,0,12.1,0.2,2.0,71.43,28.57,0.2,4.76,57.14,38.1,0.286,0.375
62,43,Jesse Anaya,NorthStars,8,1,0,0,2,2,0,0,16.2,67,17,17,13,0,5,13,0,13,0,1,233,1.78,7.0,0.347,6.94,43,9.2,4,164,0,0,3,9,1,1,8,88.89,0.167,17.0,3.489,46.81,5,3,3,4,4.467,57.93,53.19,76.0,8.0,16.0,0.621,5,2,3,2,10.37,0.17,1.333,85.71,14.29,0.778,14.29,35.71,50.0,0.214,0.105
63,10,Jesus Castro,A's,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,2.0,1,51,0,0,1,3,0,0,0,0.0,0.375,25.5,3.923,38.46,0,0,0,0,6.35,52.94,69.23,55.56,11.11,22.22,1.5,0,2,2,2,11.76,0.154,0.667,57.14,42.86,0.0,28.57,42.86,28.57,0.429,0.333
64,21,Johnny Young,LumberJacks,9,3,0,0,1,1,1,0,23.1,82,20,10,9,0,4,12,0,31,0,0,319,1.38,0.0,0.303,3.49,21,18.1,8,319,0,0,8,23,0,0,5,100.0,0.197,17.4,3.89,40.24,10,5,4,6,2.44,62.7,67.07,74.55,3.64,18.18,0.6,9,2,3,0,11.29,0.317,2.364,75.61,24.39,0.857,17.07,36.59,46.34,0.317,0.233
65,14,Joseph Cook,A's,6,4,0,0,3,1,0,0,18.2,93,22,21,16,0,7,13,0,21,0,0,340,1.87,5.0,0.301,7.67,14,17.1,5,340,0,0,5,19,0,1,7,87.5,0.236,19.6,3.656,45.16,9,2,2,5,3.931,58.24,55.91,59.62,9.62,23.08,0.692,10,7,3,3,8.82,0.194,1.5,83.93,16.07,0.476,10.71,44.64,44.64,0.304,0.175
66,25,Julian Gonzalez,Chill,6,0,0,0,1,2,0,0,5.0,26,8,19,13,0,4,14,0,3,0,0,54,4.4,3.0,1.0,23.4,25,3.0,4,66,0,0,0,2,0,0,0,0.0,0.0,22.0,4.714,14.29,2,2,2,1,4.997,46.97,42.86,83.33,0.0,0.0,1.333,2,1,1,1,16.67,0.357,1.25,100.0,0.0,2.0,0.0,33.33,66.67,0.0,0.0
67,4,Kai Hanasaki,Green Dragons,8,1,0,0,3,0,1,1,16.1,47,7,1,0,0,0,3,0,21,0,0,193,0.62,2.0,0.159,0.0,4,10.2,6,169,1,50,5,13,0,0,1,100.0,0.158,15.8,4.225,35.0,6,5,5,2,0.45,63.31,57.5,82.61,0.0,13.04,0.094,8,0,0,0,12.43,0.425,17.0,80.95,19.05,1.8,14.29,28.57,57.14,0.286,0.0
68,12,Kaleb Higgs,A's,1,0,0,0,0,0,0,0,1.0,6,0,2,0,0,1,1,0,0,0,0,20,1.0,0.0,0.0,0.0,12,1.0,1,20,0,0,0,1,0,0,0,0.0,0.0,20.0,3.333,50.0,0,0,0,0,8.38,55.0,83.33,80.0,20.0,0.0,1.0,0,1,1,1,5.0,0.0,0.0,75.0,25.0,2.0,25.0,25.0,50.0,0.0,0.0
69,33,Kaleb Wise,Blue Sox,4,1,0,0,0,1,0,0,5.1,32,7,9,5,0,2,12,0,4,0,0,86,3.65,0.0,0.389,8.65,33,2.2,2,84,0,0,1,2,0,0,0,0.0,0.2,31.5,4.421,26.32,1,0,0,1,11.18,45.24,31.58,33.33,33.33,16.67,3.0,0,3,1,0,3.57,0.053,0.125,77.78,22.22,0.333,11.11,55.56,33.33,0.222,0.2
70,1,Kenny Vo,Bombers,2,0,0,0,0,0,0,0,1.1,4,0,0,0,0,1,1,0,0,0,0,14,0.75,0.0,0.0,0.0,1,0.1,1,4,0,0,0,3,0,0,0,0.0,0.0,12.0,4.0,0.0,0,0,0,0,3.2,50.0,100.0,100.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
71,8,Kevin Sanchez,A's,5,5,1,1,1,3,0,0,16.0,82,17,19,13,0,5,11,0,17,0,0,312,1.75,6.0,0.258,7.31,8,9.0,4,217,0,0,0,9,0,0,2,100.0,0.349,24.1,3.807,38.6,7,3,1,2,5.199,54.84,49.12,60.71,14.29,21.43,1.0,4,5,2,2,13.82,0.158,1.0,76.47,23.53,1.125,5.88,38.24,55.88,0.441,0.55
72,7,Korbin Fickett,A's,2,0,0,0,0,0,0,0,5.0,22,2,2,0,0,1,2,0,8,0,0,70,0.8,0.0,0.105,0.0,7,3.0,1,38,0,0,4,2,0,0,2,100.0,0.083,12.7,2.923,53.85,3,2,2,2,0.003,84.21,84.62,90.91,0.0,9.09,0.0,3,0,0,0,23.68,0.462,0.0,66.67,33.33,0.5,33.33,16.67,50.0,0.167,0.25
73,21,Larson Scholtz,A's,5,1,0,0,0,1,1,1,5.1,22,6,8,8,0,2,13,0,10,0,0,100,3.5,3.0,0.857,13.25,21,1.2,3,57,0,100,1,4,0,1,2,66.67,0.2,34.2,4.75,16.67,0,0,0,1,12.86,40.35,33.33,25.0,50.0,25.0,4.2,1,5,1,0,3.51,0.083,0.143,50.0,50.0,0.0,25.0,0.0,75.0,0.25,0.0
74,10,Lucas Weckerle,Rush,6,3,0,0,0,2,0,0,13.1,28,16,28,24,0,5,13,0,16,0,0,112,2.16,2.0,0.0,16.08,10,6.2,3,159,0,0,4,2,1,1,4,80.0,0.346,23.8,4.184,42.11,4,3,2,2,4.954,54.09,50.0,52.63,15.79,21.05,1.2,5,7,2,2,11.95,0.184,0.875,57.14,42.86,1.5,23.81,28.57,45.0,0.45,0.556
75,3,Mac Mcclleand,Chill,1,0,0,0,0,0,0,0,1.0,4,1,1,1,0,1,1,0,0,0,1,13,2.0,0.0,0.5,9.0,3,1.0,1,13,0,0,0,0,1,0,0,0.0,0.5,13.0,3.25,50.0,0,0,0,1,8.38,38.46,50.0,0.0,0.0,50.0,1.0,0,0,0,0,23.08,0.0,0.0,100.0,0.0,0.0,0.0,50.0,50.0,0.5,0.0
76,23,Marcus Burton,Rush,2,0,0,0,0,0,0,0,4.0,19,5,3,3,1,0,2,0,2,0,0,64,1.75,0.0,0.294,6.75,23,4.0,2,64,0,0,0,4,0,0,1,100.0,0.313,16.0,3.368,57.89,2,0,0,1,6.0,67.19,63.16,58.33,16.67,25.0,0.5,2,0,0,0,3.13,0.105,1.0,80.0,20.0,0.75,6.67,33.33,60.0,0.286,0.2
77,10,Marcus Sanders,A's,7,3,0,0,1,1,0,0,23.2,100,15,13,7,0,10,13,7,24,1,0,403,1.18,7.0,0.197,2.66,10,8.0,3,158,0,0,6,9,1,1,1,50.0,0.214,19.8,4.27,27.03,5,2,1,0,2.815,55.7,54.05,70.0,15.0,10.0,0.75,3,2,2,1,11.39,0.351,2.167,66.67,33.33,3.5,20.0,13.33,66.67,0.4,0.222
78,19,Mason Gehrman,Blue Sox,6,3,0,0,4,1,0,0,26.1,96,14,8,6,3,5,10,0,43,0,1,416,0.92,3.0,0.173,2.06,19,18.2,4,339,0,0,7,13,0,2,4,66.67,0.159,18.2,4.461,26.32,12,8,4,4,2.173,60.47,46.05,77.14,5.71,14.29,0.429,13,1,2,1,21.24,0.408,3.875,78.13,21.88,0.5,9.38,43.75,46.88,0.29,0.118
79,12,Mason Oliphant,Green Dragons,1,0,0,0,0,0,0,0,1.0,6,2,0,0,0,0,1,0,0,0,0,28,3.0,0.0,0.4,0.0,12,1.0,1,28,0,0,0,3,0,0,0,0.0,0.4,28.0,4.667,33.33,1,0,0,0,5.79,53.57,33.33,50.0,0.0,50.0,1.0,0,0,0,0,3.57,0.0,0.0,60.0,40.0,0.0,20.0,60.0,20.0,0.4,0.5
80,12,Max Meltzer,Blue Sox,7,0,0,0,0,0,0,0,12.1,60,15,17,17,0,2,11,0,8,0,3,198,2.13,5.0,0.319,12.54,12,9.2,5,198,0,0,4,10,0,1,4,80.0,0.256,20.5,3.96,44.0,3,3,1,1,4.887,54.04,48.0,58.33,12.5,20.83,0.931,4,6,1,1,5.56,0.12,0.667,87.88,12.12,0.429,12.12,51.52,36.36,0.303,0.222
81,16,Michael Birkhimer,Green Dragons,6,5,0,0,1,2,0,0,23.1,116,28,19,12,2,10,14,0,15,0,0,398,1.79,1.0,0.304,4.62,16,22.0,5,398,0,0,4,22,0,3,10,76.92,0.301,18.1,3.431,44.83,15,8,3,8,5.717,58.29,54.31,58.73,6.35,28.57,0.545,15,1,2,0,8.54,0.103,1.0,72.84,27.16,0.353,17.28,44.44,38.27,0.329,0.343
82,33,Michael Bonenfant,Chill,3,3,0,0,0,2,0,0,14.0,73,18,18,10,0,4,7,0,19,0,0,262,1.79,1.0,0.29,6.43,33,14.0,3,262,0,0,5,13,0,2,4,66.67,0.295,18.7,3.589,45.21,9,6,2,7,2.48,63.74,63.01,58.7,10.87,26.09,0.5,9,3,0,0,13.74,0.26,2.714,72.73,27.27,0.231,27.27,38.64,32.56,0.419,0.35
83,17,Michael Raymond,Blue Sox,3,1,0,0,0,1,0,0,4.2,34,10,10,10,0,1,10,0,6,1,0,140,4.11,1.0,0.455,18.49,17,1.2,1,50,0,0,1,2,0,0,2,100.0,0.444,30.0,3.846,46.15,1,0,0,0,6.98,52.0,46.15,50.0,16.67,33.33,2.4,0,3,1,1,14.0,0.154,0.5,71.43,28.57,0.0,0.0,57.14,42.86,0.571,0.333
84,35,Mike Groves,A's,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,3,0,0,26,0.91,0.0,0.2,0.0,35,1.1,1,26,0,0,2,3,0,0,2,100.0,0.2,19.5,5.2,20.0,0,0,0,0,-1.367,65.38,60.0,100.0,0.0,0.0,0.0,1,0,0,0,7.69,0.6,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.5,0.0
85,36,Morgan Patito,Blue Sox,5,2,0,0,1,1,0,0,9.1,32,6,5,4,0,0,9,0,17,1,0,150,1.61,0.0,0.273,3.86,36,5.0,3,103,0,0,5,3,0,0,3,100.0,0.071,20.6,4.905,19.05,3,2,1,0,2.766,51.46,42.86,55.56,33.33,11.11,1.4,1,3,2,1,10.68,0.476,1.429,50.0,50.0,0.0,25.0,0.0,75.0,0.25,0.167
86,25,Nate Koehler,Bootleggers,7,3,0,0,0,1,0,0,12.0,61,18,19,16,0,1,19,0,8,0,0,247,3.08,3.0,0.439,12.0,25,8.0,5,223,0,0,2,11,0,1,6,85.71,0.333,27.9,4.208,32.08,3,0,0,1,7.435,48.43,52.83,50.0,25.0,25.0,2.0,3,4,3,0,6.73,0.094,0.313,74.19,25.81,0.556,16.13,35.48,46.67,0.387,0.318
87,20,Nic Rivas,Green Dragons,5,4,0,0,3,1,0,0,22.2,98,25,16,13,0,3,16,0,13,0,0,347,1.81,5.0,0.316,5.16,20,16.0,4,295,0,0,1,20,1,1,12,92.31,0.313,18.4,3.734,35.44,9,6,1,3,4.451,55.93,45.57,66.67,5.56,25.0,0.813,5,2,5,1,10.51,0.101,0.615,61.4,38.6,1.143,22.81,26.32,50.0,0.351,0.3
88,12,Nicholas Ely,Coyotes,6,0,0,0,1,1,0,0,14.1,44,13,8,6,0,2,5,0,19,0,0,155,1.28,2.0,0.351,3.83,12,5.1,3,84,0,0,4,6,0,0,0,0.0,0.176,15.8,3.652,52.17,2,1,0,1,2.478,63.1,56.52,69.23,7.69,15.38,0.563,3,2,1,1,13.1,0.304,2.333,66.67,33.33,1.0,16.67,25.0,58.33,0.25,0.111
89,5,Noble Ortega,Blue Sox,8,2,0,0,0,0,0,0,12.0,46,16,15,15,0,0,12,0,15,0,0,142,2.33,2.0,0.471,11.25,5,6.1,6,142,0,0,4,6,0,1,2,66.67,0.32,22.4,4.733,23.33,5,1,0,1,2.039,54.93,46.67,78.57,7.14,14.29,0.789,2,0,1,0,10.56,0.333,2.0,80.0,20.0,0.667,13.33,26.67,60.0,0.533,0.444
90,4,Owen Powers,LumberJacks,4,1,0,0,1,0,0,0,6.2,23,8,3,3,0,0,2,0,6,0,0,83,1.5,1.0,0.381,4.05,4,5.2,3,83,0,0,1,6,0,1,1,50.0,0.304,14.6,3.458,58.33,4,3,2,2,2.224,61.45,58.33,64.29,7.14,28.57,0.176,4,0,0,0,9.64,0.167,4.0,68.42,31.58,0.5,21.05,47.37,31.58,0.368,0.25
91,7,Owen Boyce,Chill,4,0,0,0,0,0,1,1,5.1,22,2,2,1,0,2,3,0,5,0,0,85,0.94,0.0,0.118,1.69,7,3.0,3,65,0,100,0,4,0,0,2,100.0,0.1,21.7,4.333,20.0,0,0,0,1,4.81,55.38,53.33,75.0,0.0,12.5,1.0,0,1,2,1,6.15,0.267,1.333,66.67,33.33,2.0,33.33,0.0,66.67,0.167,0.0
92,6,Parker Loureiro,Green Dragons,2,0,0,0,0,0,0,0,2.0,13,2,3,3,0,2,3,0,2,0,0,51,2.5,1.0,0.25,13.5,6,2.0,2,51,0,0,2,4,0,0,1,100.0,0.25,25.5,3.923,38.46,0,0,0,0,7.645,43.14,38.46,60.0,0.0,20.0,1.5,1,1,1,1,5.88,0.154,0.667,100.0,0.0,0.0,0.0,83.33,16.67,0.333,0.0
93,35,Patrick Kennedy,Bombers,2,2,0,0,0,1,0,0,9.1,52,11,6,3,0,3,6,0,12,0,1,191,1.82,2.0,0.256,2.89,35,4.2,1,92,0,0,3,6,0,0,2,100.0,0.286,19.7,3.68,44.0,3,2,0,0,2.81,61.96,64.0,68.75,0.0,31.25,0.643,2,0,0,0,10.87,0.24,2.0,80.0,20.0,1.0,0.0,33.33,66.67,0.4,0.429
94,26,Payden Wysong,Coyotes,5,1,0,0,1,0,0,0,14.0,56,22,15,7,0,4,12,0,24,0,0,202,2.43,2.0,0.55,4.5,26,15.0,5,280,0,0,7,17,0,1,4,80.0,0.338,18.7,3.544,49.37,8,6,3,4,3.723,59.64,58.23,60.87,4.35,28.26,0.667,7,3,4,1,10.0,0.177,1.4,78.85,21.15,0.238,17.31,51.92,28.0,0.431,0.355
95,11,Preston Winget,A's,2,0,0,0,0,0,1,1,3.0,15,3,2,0,0,1,2,0,3,0,0,56,1.67,3.0,0.25,0.0,11,3.0,2,56,0,100,1,4,0,0,1,100.0,0.273,18.7,3.733,40.0,2,1,0,1,3.76,60.71,66.67,50.0,20.0,20.0,0.667,1,1,1,0,10.71,0.2,1.5,88.89,11.11,1.0,11.11,44.44,44.44,0.333,0.2
96,33,Richie Amavizca,A's,2,0,0,0,0,1,0,0,2.0,8,1,4,3,0,3,3,0,2,0,0,29,2.0,0.0,0.5,13.5,33,1.0,1,29,0,0,0,3,0,0,0,0.0,0.25,29.0,3.625,37.5,0,0,0,0,11.53,44.83,50.0,50.0,50.0,0.0,2.0,0,1,0,0,10.34,0.125,0.5,33.33,66.67,0.0,0.0,0.0,100.0,0.333,0.0
97,4,Ruben Leon,Rush,7,1,0,0,0,1,0,0,10.2,60,17,18,14,0,6,9,0,10,0,0,208,2.47,1.0,0.378,11.96,4,5.2,3,129,0,0,2,3,0,1,3,75.0,0.292,22.8,4.031,34.38,5,3,3,2,4.707,55.04,53.13,52.94,11.76,23.53,0.882,3,2,0,0,13.95,0.188,1.2,72.22,27.78,1.25,16.67,38.89,44.44,0.389,0.455
98,23,Ryan Silvers,Bootleggers,5,4,0,0,2,1,0,0,15.0,38,13,9,2,0,2,9,0,20,0,0,190,1.47,2.0,0.481,1.2,23,9.0,3,140,0,0,4,8,2,2,1,33.33,0.281,15.6,3.684,47.37,4,3,1,3,2.446,65.71,76.32,58.62,6.9,31.03,0.556,4,1,1,0,17.14,0.289,2.2,76.19,23.81,2.667,23.81,9.52,66.67,0.429,0.167
99,6,Sam Dicarlo,LumberJacks,5,5,0,0,2,0,0,0,17.1,67,11,9,6,0,1,13,0,25,0,0,265,1.38,2.0,0.208,3.12,6,14.1,4,265,0,0,7,14,1,0,5,100.0,0.182,18.5,3.955,41.79,7,5,3,4,2.677,56.6,49.25,78.79,6.06,15.15,0.767,9,4,4,3,10.94,0.284,1.727,69.44,30.56,0.909,13.89,30.56,54.29,0.278,0.1
100,20,Sam Galtman,NorthStars,7,0,0,0,0,1,0,0,6.0,30,0,12,9,0,0,21,0,4,0,0,132,3.5,13.0,0.0,13.5,20,1.2,3,76,0,0,1,0,0,0,1,100.0,0.0,45.6,4.471,11.76,1,1,0,0,19.41,25.0,35.29,50.0,50.0,0.0,7.2,0,8,2,1,1.32,0.118,0.167,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
101,35,Samuel Sanchez,Chill,8,1,0,0,2,0,0,0,14.0,36,11,5,4,0,2,4,0,26,0,0,152,1.07,2.0,0.367,2.57,35,8.0,4,149,0,100,5,9,0,1,4,80.0,0.219,18.6,4.027,37.84,5,3,2,4,0.759,65.77,56.76,80.95,9.52,9.52,0.5,6,1,0,0,20.81,0.432,4.0,62.5,37.5,0.5,25.0,25.0,50.0,0.438,0.154
102,13,Seth Gillaspy,LumberJacks,8,2,0,0,3,0,0,0,15.2,43,14,8,6,0,1,11,0,21,0,0,184,1.59,0.0,0.452,3.42,13,10.0,6,184,0,0,5,7,5,0,2,100.0,0.257,18.4,4.279,27.91,9,6,1,3,3.039,55.43,46.51,75.0,0.0,20.0,0.6,6,1,0,0,9.78,0.256,1.833,58.33,41.67,0.444,20.83,37.5,41.67,0.375,0.0
103,22,Tanner Hopkins,Chill,5,4,0,0,4,0,0,0,26.0,94,20,7,7,0,2,13,0,31,1,0,366,1.27,2.0,0.256,2.42,22,16.0,3,263,0,0,8,15,0,2,3,60.0,0.233,16.4,3.868,41.18,11,7,6,8,2.084,61.22,61.76,66.67,2.38,28.57,0.438,10,2,2,1,8.37,0.279,2.714,80.49,19.51,0.643,14.63,36.59,48.78,0.341,0.263
104,15,Tomoki Jitsukawa,Rush,6,4,1,0,1,3,0,0,26.2,102,25,15,11,0,3,9,0,40,2,1,381,1.27,0.0,0.284,3.68,15,15.2,3,264,0,0,3,17,0,0,4,100.0,0.254,16.9,3.718,43.66,9,1,0,2,1.766,67.05,69.01,71.43,6.12,16.33,0.255,11,0,1,0,15.15,0.282,5.0,77.27,22.73,1.0,18.18,31.82,48.84,0.364,0.217
105,7,Trent Schacher,Rush,1,0,0,0,0,0,0,0,1.0,9,2,4,4,0,1,3,0,0,0,0,35,5.0,1.0,0.4,36.0,7,1.0,1,35,0,0,0,2,0,0,0,0.0,0.4,35.0,3.889,33.33,0,0,0,0,13.56,51.43,44.44,50.0,25.0,25.0,3.0,0,2,1,1,2.86,0.0,0.0,60.0,40.0,0.0,40.0,40.0,20.0,0.4,0.4
106,24,Trey Willis,Bootleggers,6,0,0,0,0,0,0,0,12.0,48,8,8,2,0,2,8,0,8,0,0,172,1.33,1.0,0.211,1.5,24,11.0,5,172,0,0,1,5,0,0,5,100.0,0.15,15.6,3.583,45.83,7,4,3,6,3.976,57.56,56.25,77.78,3.7,14.81,0.545,8,1,2,1,6.4,0.125,1.0,76.47,23.53,0.583,5.88,35.29,57.58,0.176,0.0
107,34,Ty Farwell,A's,3,1,0,0,0,1,0,0,5.1,26,4,7,3,0,2,9,0,4,0,0,104,2.44,0.0,0.267,5.06,34,2.0,1,45,0,0,1,4,0,0,0,0.0,0.0,22.5,4.091,36.36,2,1,0,0,7.645,44.44,54.55,66.67,33.33,0.0,2.0,0,1,0,0,13.33,0.182,0.5,100.0,0.0,0.333,0.0,75.0,25.0,0.0,0.0
108,11,Ty Phipps,Green Dragons,11,0,0,0,0,1,0,0,15.1,66,27,20,13,1,1,12,0,10,0,0,166,2.58,1.0,0.509,7.75,11,6.2,6,124,0,0,1,8,0,0,0,0.0,0.31,18.6,3.351,51.35,2,2,1,3,5.909,54.84,51.35,73.68,5.26,21.05,0.9,5,4,2,1,8.87,0.135,0.833,72.0,28.0,1.6,20.0,28.0,52.0,0.333,0.273
109,25,Ty Potts,A's,1,0,0,0,0,0,0,0,1.0,6,1,0,0,0,0,2,0,0,0,0,33,3.0,0.0,0.25,0.0,25,1.0,1,33,0,0,0,3,0,0,1,100.0,0.25,33.0,5.5,0.0,0,0,0,0,8.38,57.58,66.67,50.0,25.0,25.0,2.0,0,0,0,0,3.03,0.0,0.0,75.0,25.0,0.0,25.0,50.0,25.0,0.25,0.0
110,20,Tyler Nelson,Blue Sox,1,0,0,0,0,0,0,0,1.0,5,1,1,1,0,0,1,0,1,0,0,24,2.0,0.0,0.25,9.0,20,1.0,1,24,0,0,0,1,0,0,2,100.0,0.25,24.0,4.8,20.0,0,0,0,0,3.76,50.0,80.0,50.0,25.0,25.0,1.0,0,1,1,1,0.0,0.2,1.0,100.0,0.0,0.0,0.0,66.67,33.33,0.333,0.5
111,22,Whitfield Haydon,Bombers,8,4,0,0,1,3,1,0,14.1,80,15,21,15,0,12,19,0,8,1,0,283,2.41,8.0,0.312,9.57,22,13.1,7,304,0,100,1,20,0,1,13,92.86,0.245,22.8,3.535,39.53,6,3,2,5,7.809,48.36,51.16,63.64,13.64,15.91,1.35,5,6,3,3,8.22,0.093,0.444,81.25,18.75,0.588,14.58,39.58,45.83,0.271,0.194
112,37,Wyatt Franchione,NorthStars,4,3,0,0,1,1,0,0,16.0,40,11,8,3,0,0,9,0,15,0,0,138,1.25,1.0,0.355,1.69,37,8.0,2,138,0,0,2,7,0,0,1,100.0,0.235,17.3,3.45,50.0,6,2,2,3,4.381,62.32,67.5,74.07,3.7,18.52,0.75,4,2,0,0,11.59,0.075,0.5,71.88,28.13,0.308,18.75,37.5,40.0,0.258,0.267
